Index,Date,Open,High,Low,Close,Volume,Day _n-1 Price,Day _n-2 Price,Day _n-3 Price,Day _n-4 Price,Day _n-5 Price,Next Price
11,41520.66667,22.9,23.15,22.9,23,33910604,22.85,22.3,22.3,22.15,22.5,22.95
12,41521.66667,22.85,23.1,22.8,22.95,15896714,23,22.85,22.3,22.3,22.15,23.25
13,41522.66667,23.2,23.4,23.2,23.25,51204016,22.95,23,22.85,22.3,22.3,23.3
14,41523.66667,23.25,23.4,23.25,23.3,42129400,23.25,22.95,23,22.85,22.3,23.4
15,41526.66667,23.5,23.6,23.35,23.4,26144464,23.3,23.25,22.95,23,22.85,23.6
16,41527.66667,23.6,23.7,23.5,23.6,29307140,23.4,23.3,23.25,22.95,23,23.6
17,41528.66667,23.7,23.8,23.55,23.6,42738076,23.6,23.4,23.3,23.25,22.95,23.65
18,41529.66667,23.65,23.75,23.6,23.65,18023352,23.6,23.6,23.4,23.3,23.25,23.6
19,41530.66667,23.6,23.7,23.5,23.6,34164512,23.65,23.6,23.6,23.4,23.3,24
20,41533.66667,23.85,24,23.85,24,49653152,23.6,23.65,23.6,23.6,23.4,23.85
21,41534.66667,24,24,23.8,23.85,47520440,24,23.6,23.65,23.6,23.6,23.8
22,41535.66667,23.9,23.95,23.8,23.8,30760396,23.85,24,23.6,23.65,23.6,24.2
23,41536.66667,24.1,24.35,24.1,24.2,52024968,23.8,23.85,24,23.6,23.65,24.1
24,41540.66667,24.2,24.2,23.95,24.1,26967824,24.2,23.8,23.85,24,23.6,23.9
25,41541.66667,23.95,24.05,23.75,23.9,29777176,24.1,24.2,23.8,23.85,24,23.9
26,41542.66667,23.75,24,23.75,23.9,38332640,23.9,24.1,24.2,23.8,23.85,23.85
27,41543.66667,23.8,23.95,23.75,23.85,10559995,23.9,23.9,24.1,24.2,23.8,23.9
28,41544.66667,23.8,24.1,23.8,23.9,37869832,23.85,23.9,23.9,24.1,24.2,23.6
29,41547.66667,23.7,23.7,23.55,23.6,16698862,23.9,23.85,23.9,23.9,24.1,23.7
30,41549.66667,23.6,23.85,23.6,23.7,23352564,23.6,23.9,23.85,23.9,23.9,23.95
31,41550.66667,23.7,24,23.7,23.95,17075200,23.7,23.6,23.9,23.85,23.9,23.85
32,41551.66667,23.75,23.9,23.7,23.85,9424886,23.95,23.7,23.6,23.9,23.85,23.7
33,41554.66667,23.85,23.85,23.6,23.7,14466879,23.85,23.95,23.7,23.6,23.9,23.95
34,41555.66667,23.65,23.95,23.6,23.95,5280814,23.7,23.85,23.95,23.7,23.6,23.8
35,41556.66667,23.7,23.8,23.7,23.8,5408775,23.95,23.7,23.85,23.95,23.7,23.7
36,41557.66667,23.8,23.8,23.45,23.7,19227168,23.8,23.95,23.7,23.85,23.95,24
37,41558.66667,24,24.1,23.95,24,14818445,23.7,23.8,23.95,23.7,23.85,24.1
38,41562.66667,24.1,24.2,24,24.1,15020464,24,23.7,23.8,23.95,23.7,23.9
39,41563.66667,24,24.05,23.8,23.9,13023697,24.1,24,23.7,23.8,23.95,23.75
40,41564.66667,24.1,24.1,23.75,23.75,9216825,23.9,24.1,24,23.7,23.8,24.05
41,41565.66667,23.9,24.1,23.9,24.05,5502938,23.75,23.9,24.1,24,23.7,24.15
42,41568.66667,24.05,24.25,24.05,24.15,29625390,24.05,23.75,23.9,24.1,24,24.05
43,41569.66667,24.05,24.1,24,24.05,11439556,24.15,24.05,23.75,23.9,24.1,23.75
44,41570.66667,24.15,24.25,23.7,23.75,27837680,24.05,24.15,24.05,23.75,23.9,23.6
45,41571.66667,23.7,23.7,23.5,23.6,32674552,23.75,24.05,24.15,24.05,23.75,23.45
46,41572.66667,23.55,23.6,23.35,23.45,27684128,23.6,23.75,24.05,24.15,24.05,23.6
47,41575.66667,23.4,23.6,23.4,23.6,8167258,23.45,23.6,23.75,24.05,24.15,23.65
48,41576.66667,23.5,23.75,23.5,23.65,12815137,23.6,23.45,23.6,23.75,24.05,24.1
49,41577.66667,23.8,24.1,23.7,24.1,8394931,23.65,23.6,23.45,23.6,23.75,23.35
50,41578.66667,23.4,23.45,23.3,23.35,16374657,24.1,23.65,23.6,23.45,23.6,23.4
51,41579.66667,23.4,23.5,23.3,23.4,8610641,23.35,24.1,23.65,23.6,23.45,23.35
52,41582.66667,23.5,23.55,23.35,23.35,3418870,23.4,23.35,24.1,23.65,23.6,23.2
53,41583.66667,23.4,23.4,23.1,23.2,13799911,23.35,23.4,23.35,24.1,23.65,23.15
54,41584.66667,23.35,23.35,23.1,23.15,5055140,23.2,23.35,23.4,23.35,24.1,23
55,41585.66667,23.15,23.15,22.95,23,8135835,23.15,23.2,23.35,23.4,23.35,22.9
56,41586.66667,22.9,22.95,22.8,22.9,10392264,23,23.15,23.2,23.35,23.4,23.25
57,41589.66667,22.95,23.3,22.85,23.25,21190928,22.9,23,23.15,23.2,23.35,23.1
58,41590.66667,23.25,23.3,23,23.1,9696990,23.25,22.9,23,23.15,23.2,22.65
59,41591.66667,23.05,23.05,22.6,22.65,27716612,23.1,23.25,22.9,23,23.15,22.8
60,41592.66667,22.8,22.85,22.65,22.8,18611384,22.65,23.1,23.25,22.9,23,23.2
61,41593.66667,22.8,23.2,22.8,23.2,31703916,22.8,22.65,23.1,23.25,22.9,23.85
62,41596.66667,23.5,23.9,23.5,23.85,32384666,23.2,22.8,22.65,23.1,23.25,23.85
63,41597.66667,23.95,24.05,23.8,23.85,14201315,23.85,23.2,22.8,22.65,23.1,23.9
64,41598.66667,23.85,24.05,23.85,23.9,12262651,23.85,23.85,23.2,22.8,22.65,23.75
65,41599.66667,23.85,23.85,23.7,23.75,34151940,23.9,23.85,23.85,23.2,22.8,23.85
66,41600.66667,23.85,23.95,23.85,23.85,37143312,23.75,23.9,23.85,23.85,23.2,23.95
67,41603.66667,24,24,23.85,23.95,17353192,23.85,23.75,23.9,23.85,23.85,23.95
68,41604.66667,23.85,24,23.85,23.95,37351280,23.95,23.85,23.75,23.9,23.85,24
69,41605.66667,23.95,24.1,23.85,24,65348884,23.95,23.95,23.85,23.75,23.9,24
70,41606.66667,24.05,24.25,23.9,24,32291236,24,23.95,23.95,23.85,23.75,24.1
71,41607.66667,24,24.1,23.95,24.1,28854340,24,24,23.95,23.95,23.85,24.2
72,41610.66667,24.1,24.35,24,24.2,26855396,24.1,24,24,23.95,23.95,24.1
73,41611.66667,24.05,24.2,24,24.1,10161728,24.2,24.1,24,24,23.95,23.95
74,41612.66667,23.8,24,23.75,23.95,20682796,24.1,24.2,24.1,24,24,23.9
