Index,Date,Open,High,Low,Close,Volume,Day _n-1 Price Change %,Day _n-2 Price Change %,Day _n-3 Price Change %,Day _n-4 Price Change %,Day _n-5 Price Change %,Next Price,Next Price Change %
11,41520.66667,22.9,23.15,22.9,23,33910604,-0.65,-3.04,-3.04,-3.70,-2.17,22.95,-0.22
12,41521.66667,22.85,23.1,22.8,22.95,15896714,0.22,-0.44,-2.83,-2.83,-3.49,23.25,1.31
13,41522.66667,23.2,23.4,23.2,23.25,51204016,-1.29,-1.08,-1.72,-4.09,-4.09,23.30,0.22
14,41523.66667,23.25,23.4,23.25,23.3,42129400,-0.21,-1.50,-1.29,-1.93,-4.29,23.40,0.43
15,41526.66667,23.5,23.6,23.35,23.4,26144464,-0.43,-0.64,-1.92,-1.71,-2.35,23.60,0.85
16,41527.66667,23.6,23.7,23.5,23.6,29307140,-0.85,-1.27,-1.48,-2.75,-2.54,23.60,0.00
17,41528.66667,23.7,23.8,23.55,23.6,42738076,0.00,-0.85,-1.27,-1.48,-2.75,23.65,0.21
18,41529.66667,23.65,23.75,23.6,23.65,18023352,-0.21,-0.21,-1.06,-1.48,-1.69,23.60,-0.21
19,41530.66667,23.6,23.7,23.5,23.6,34164512,0.21,0.00,0.00,-0.85,-1.27,24.00,1.69
20,41533.66667,23.85,24,23.85,24,49653152,-1.67,-1.46,-1.67,-1.67,-2.50,23.85,-0.63
21,41534.66667,24,24,23.8,23.85,47520440,0.63,-1.05,-0.84,-1.05,-1.05,23.80,-0.21
22,41535.66667,23.9,23.95,23.8,23.8,30760396,0.21,0.84,-0.84,-0.63,-0.84,24.20,1.68
23,41536.66667,24.1,24.35,24.1,24.2,52024968,-1.65,-1.45,-0.83,-2.48,-2.27,24.10,-0.41
24,41540.66667,24.2,24.2,23.95,24.1,26967824,,,,,,,
25,41541.66667,23.95,24.05,23.75,23.9,29777176,,,,,,,
26,41542.66667,23.75,24,23.75,23.9,38332640,0.00,0.84,1.26,-0.42,-0.21,23.85,-0.21
27,41543.66667,23.8,23.95,23.75,23.85,10559995,0.21,0.21,1.05,1.47,-0.21,23.90,0.21
