Date,Close,trend,predict,action
2017-01-01,39.02164077758789,1,1.0,Buy
2017-01-08,39.95816040039063,1,0.5,Hold
2017-01-15,41.38523864746094,1,1.0,Hold
2017-01-22,42.321754455566406,1,0.0,Sell
2017-01-29,43.07988739013672,0,0.0,Hold
2017-02-05,42.00957489013672,1,0.5,Hold
2017-02-12,42.143367767333984,1,1.0,Buy
2017-02-19,43.70424270629883,0,1.0,Hold
2017-02-26,43.48125457763672,1,0.5,Hold
2017-03-05,43.70424270629883,1,0.0,Sell
2017-03-12,44.86373519897461,0,0.5,Hold
2017-03-19,44.41777420043945,1,1.0,Buy
2017-03-26,44.68535232543945,0,1.0,Hold
2017-04-02,43.70424270629883,1,1.0,Hold
2017-04-09,44.28398132324219,0,1.0,Hold
2017-04-16,44.46236801147461,0,1.0,Hold
2017-04-23,44.3731803894043,1,1.0,Hold
2017-04-30,48.03005599975586,1,0.0,Sell
2017-05-07,48.69900131225586,1,0.5,Hold
2017-05-14,49.41254806518555,0,0.5,Hold
2017-05-21,49.35306167602539,1,1.0,Buy
2017-05-28,49.39816665649414,1,1.0,Hold
2017-06-04,49.93951034545898,1,0.5,Hold
2017-06-11,50.79664993286133,0,0.5,Hold
2017-06-18,50.43574523925781,1,0.0,Sell
2017-06-25,51.8342399597168,0,0.5,Hold
2017-07-02,51.47333908081055,0,0.5,Hold
2017-07-09,49.93951034545898,1,1.0,Buy
2017-07-16,52.42070007324219,1,0.5,Hold
2017-07-23,53.09738540649414,1,0.5,Hold
2017-07-30,53.68385314941406,1,0.5,Hold
2017-08-06,54.99211502075195,0,0.5,Hold
2017-08-13,53.09738540649414,0,1.0,Hold
2017-08-20,52.78584671020508,1,0.5,Hold
2017-08-27,54.1451301574707,1,1.0,Hold
2017-09-03,54.82478332519531,0,0.5,Hold
2017-09-10,53.28424453735352,1,0.5,Hold
2017-09-17,53.46548461914063,1,1.0,Hold
2017-09-24,54.281063079833984,0,0.5,Hold
2017-10-01,52.19681167602539,1,1.0,Hold
2017-10-08,54.00920104980469,1,1.0,Hold
2017-10-15,55.4138069152832,0,0.5,Hold
2017-10-22,54.552921295166016,0,1.0,Hold
2017-10-29,54.37167739868164,1,1.0,Hold
2017-11-05,54.59822463989258,1,0.5,Hold
2017-11-12,55.82159423828125,1,0.5,Hold
2017-11-19,59.71822738647461,1,0.0,Sell
2017-11-26,61.93840026855469,0,0.5,Hold
2017-12-03,57.27150344848633,0,1.0,Buy
2017-12-10,56.00283050537109,1,0.5,Hold
2017-12-17,56.13875961303711,1,1.0,Hold
2017-12-24,57.95114135742188,0,0.5,Hold
2017-12-31,60.39787673950195,0,0.5,Hold
